route_id,route_name,origin_terminal_id,destination_terminal_id,distance_km,average_travel_minutes
RTE-01,Jakarta - Bandung,TRM-01,TRM-02,375,464
RTE-02,Bandung - Semarang,TRM-02,TRM-03,135,166
RTE-03,Semarang - Yogyakarta,TRM-03,TRM-04,158,182
RTE-04,Yogyakarta - Surabaya,TRM-04,TRM-05,298,363
RTE-05,Surabaya - Malang,TRM-05,TRM-06,617,743
RTE-06,Malang - Solo,TRM-06,TRM-07,185,216
RTE-07,Solo - Cirebon,TRM-07,TRM-08,445,582
RTE-08,Cirebon - Tegal,TRM-08,TRM-09,294,365
RTE-09,Tegal - Purwokerto,TRM-09,TRM-10,376,469
RTE-10,Purwokerto - Kediri,TRM-10,TRM-11,420,521
RTE-11,Kediri - Madiun,TRM-11,TRM-12,396,494
RTE-12,Madiun - Jember,TRM-12,TRM-13,200,267
RTE-13,Jember - Probolinggo,TRM-13,TRM-14,306,397
RTE-14,Probolinggo - Banyuwangi,TRM-14,TRM-15,520,722
RTE-15,Banyuwangi - Bogor,TRM-15,TRM-16,254,311
RTE-16,Bogor - Sukabumi,TRM-16,TRM-17,393,454
RTE-17,Sukabumi - Tasikmalaya,TRM-17,TRM-18,124,159
RTE-18,Tasikmalaya - Garut,TRM-18,TRM-19,445,540
RTE-19,Garut - Cilacap,TRM-19,TRM-20,170,191
RTE-20,Cilacap - Pekalongan,TRM-20,TRM-21,338,370
RTE-21,Pekalongan - Magelang,TRM-21,TRM-22,355,491
RTE-22,Magelang - Salatiga,TRM-22,TRM-23,337,370
RTE-23,Salatiga - Jepara,TRM-23,TRM-24,338,452
RTE-24,Jepara - Pati,TRM-24,TRM-25,528,674
RTE-25,Pati - Jakarta,TRM-25,TRM-01,486,578
RTE-26,Jakarta - Surabaya,TRM-01,TRM-05,211,240
RTE-27,Surabaya - Purwokerto,TRM-05,TRM-10,528,699
RTE-28,Purwokerto - Banyuwangi,TRM-10,TRM-15,431,539
RTE-29,Banyuwangi - Cilacap,TRM-15,TRM-20,506,643
RTE-30,Cilacap - Pati,TRM-20,TRM-25,639,745
