table_name,column_name,data_type,key_type,nullable,description
dim_date,date_sk,INTEGER,PK,Tidak,Kunci tanggal dengan format YYYYMMDD
dim_date,full_date,DATE,Atribut,Tidak,Tanggal kalender
dim_date,day_of_month,INTEGER,Atribut,Tidak,Nomor hari dalam bulan
dim_date,day_name,VARCHAR(10),Atribut,Tidak,Nama hari
dim_date,week_of_year,INTEGER,Atribut,Tidak,Nomor minggu dalam tahun
dim_date,month_number,INTEGER,Atribut,Tidak,Nomor bulan
dim_date,month_name,VARCHAR(10),Atribut,Tidak,Nama bulan
dim_date,quarter_number,INTEGER,Atribut,Tidak,Nomor kuartal
dim_date,year_number,INTEGER,Atribut,Tidak,Tahun kalender
dim_date,is_weekend,BOOLEAN,Atribut,Tidak,Penanda hari Sabtu atau Minggu
dim_date,is_peak_season,BOOLEAN,Atribut,Tidak,Penanda bulan musim sibuk
dim_time,time_sk,INTEGER,PK,Tidak,Kunci waktu dengan format HHMM
dim_time,full_time,TIME,Atribut,Tidak,Waktu dalam format jam menit detik
dim_time,hour_number,INTEGER,Atribut,Tidak,Komponen jam
dim_time,minute_number,INTEGER,Atribut,Tidak,Komponen menit
dim_time,time_period,VARCHAR(10),Atribut,Tidak,Kelompok waktu pagi siang sore atau malam
dim_time,is_peak_hour,BOOLEAN,Atribut,Tidak,Penanda jam sibuk
dim_passenger,passenger_sk,INTEGER,PK,Tidak,Surrogate key versi penumpang
dim_passenger,passenger_id,VARCHAR(10),Natural Key,Tidak,ID penumpang dari sistem sumber
dim_passenger,passenger_name,VARCHAR(100),Atribut,Tidak,Nama penumpang
dim_passenger,email,VARCHAR(150),Atribut,Ya,Alamat email penumpang
dim_passenger,phone,VARCHAR(30),Atribut,Tidak,Nomor telepon penumpang
dim_passenger,city,VARCHAR(100),Atribut,Tidak,Kota domisili penumpang
dim_passenger,registration_date,DATE,Atribut,Tidak,Tanggal pendaftaran penumpang
dim_passenger,loyalty_tier,VARCHAR(20),Atribut SCD 2,Tidak,Tingkat loyalitas pada periode versi
dim_passenger,effective_start_date,DATE,Kontrol SCD 2,Tidak,Tanggal mulai berlakunya versi
dim_passenger,effective_end_date,DATE,Kontrol SCD 2,Ya,Tanggal akhir versi secara eksklusif
dim_passenger,is_current,BOOLEAN,Kontrol SCD 2,Tidak,Penanda versi yang sedang berlaku
dim_terminal,terminal_sk,INTEGER,PK,Tidak,Surrogate key versi terminal
dim_terminal,terminal_id,VARCHAR(10),Natural Key,Tidak,ID terminal dari sistem sumber
dim_terminal,terminal_name,VARCHAR(100),Atribut,Tidak,Nama terminal
dim_terminal,city,VARCHAR(100),Atribut,Tidak,Kota tempat terminal berada
dim_terminal,province,VARCHAR(100),Atribut,Tidak,Provinsi tempat terminal berada
dim_terminal,capacity_per_day,INTEGER,Atribut SCD 2,Tidak,Kapasitas layanan terminal per hari
dim_terminal,effective_start_date,DATE,Kontrol SCD 2,Tidak,Tanggal mulai berlakunya versi
dim_terminal,effective_end_date,DATE,Kontrol SCD 2,Ya,Tanggal akhir versi secara eksklusif
dim_terminal,is_current,BOOLEAN,Kontrol SCD 2,Tidak,Penanda versi yang sedang berlaku
dim_route,route_sk,INTEGER,PK,Tidak,Surrogate key rute
dim_route,route_id,VARCHAR(10),Natural Key,Tidak,ID rute dari sistem sumber
dim_route,route_name,VARCHAR(150),Atribut,Tidak,Nama rute asal dan tujuan
dim_route,origin_terminal_id,VARCHAR(10),Atribut,Tidak,ID terminal asal pada data sumber
dim_route,destination_terminal_id,VARCHAR(10),Atribut,Tidak,ID terminal tujuan pada data sumber
dim_route,distance_km,INTEGER,Atribut,Tidak,Jarak rute dalam kilometer
dim_route,average_travel_minutes,INTEGER,Atribut,Tidak,Estimasi durasi perjalanan dalam menit
dim_bus_fleet,bus_fleet_sk,INTEGER,PK,Tidak,Surrogate key versi armada
dim_bus_fleet,bus_fleet_id,VARCHAR(10),Natural Key,Tidak,ID armada dari sistem sumber
dim_bus_fleet,license_plate,VARCHAR(20),Atribut,Tidak,Nomor pelat armada
dim_bus_fleet,bus_class,VARCHAR(20),Atribut SCD 2,Tidak,Kelas layanan armada pada periode versi
dim_bus_fleet,seat_configuration,VARCHAR(10),Atribut SCD 2,Tidak,Susunan kursi armada pada periode versi
dim_bus_fleet,seat_capacity,INTEGER,Atribut SCD 2,Tidak,Jumlah kursi armada pada periode versi
dim_bus_fleet,manufacture_year,INTEGER,Atribut,Tidak,Tahun produksi armada
dim_bus_fleet,status,VARCHAR(20),Atribut,Tidak,Status operasional armada
dim_bus_fleet,effective_start_date,DATE,Kontrol SCD 2,Tidak,Tanggal mulai berlakunya versi
dim_bus_fleet,effective_end_date,DATE,Kontrol SCD 2,Ya,Tanggal akhir versi secara eksklusif
dim_bus_fleet,is_current,BOOLEAN,Kontrol SCD 2,Tidak,Penanda versi yang sedang berlaku
dim_sales_context,sales_context_sk,INTEGER,PK,Tidak,Surrogate key kombinasi konteks penjualan
dim_sales_context,booking_channel,VARCHAR(30),Atribut,Tidak,Kanal yang digunakan untuk memesan tiket
dim_sales_context,fare_class,VARCHAR(20),Atribut,Tidak,Kelas tarif tiket
dim_sales_context,payment_method,VARCHAR(30),Atribut,Tidak,Metode pembayaran pemesanan
dim_sales_context,is_refundable,BOOLEAN,Atribut,Tidak,Penanda tiket dapat dikembalikan
dim_promotion,promotion_sk,INTEGER,PK,Tidak,Surrogate key promosi
dim_promotion,promotion_code,VARCHAR(20),Natural Key,Ya,Kode promosi dari sistem sumber
dim_promotion,promotion_name,VARCHAR(100),Atribut,Tidak,Nama promosi
dim_promotion,promotion_type,VARCHAR(30),Atribut,Tidak,Jenis perhitungan promosi
dim_promotion,discount_rate,"DECIMAL(5,4)",Atribut,Tidak,Tingkat diskon promosi
dim_disruption_reason,disruption_reason_sk,INTEGER,PK,Tidak,Surrogate key alasan gangguan
dim_disruption_reason,disruption_reason,VARCHAR(50),Atribut,Ya,Kategori penyebab gangguan perjalanan
dim_disruption_reason,severity_level,VARCHAR(20),Atribut,Ya,Tingkat keparahan gangguan
dim_loyalty_transaction_type,loyalty_transaction_type_sk,INTEGER,PK,Tidak,Surrogate key jenis transaksi loyalitas
