terminal_sk,terminal_id,terminal_name,city,province,capacity_per_day,effective_start_date,effective_end_date,is_current
1,TRM-01,Terminal Jakarta,Jakarta,DKI Jakarta,1500,2024-01-01,2025-08-01,False
2,TRM-01,Terminal Jakarta,Jakarta,DKI Jakarta,1700,2025-08-01,,True
3,TRM-02,Terminal Bandung,Bandung,Jawa Barat,2400,2024-01-01,,True
4,TRM-03,Terminal Semarang,Semarang,Jawa Tengah,1600,2024-01-01,2025-07-01,False
5,TRM-03,Terminal Semarang,Semarang,Jawa Tengah,1800,2025-07-01,,True
6,TRM-04,Terminal Yogyakarta,Yogyakarta,DI Yogyakarta,700,2024-01-01,,True
7,TRM-05,Terminal Surabaya,Surabaya,Jawa Timur,2700,2024-01-01,2025-08-01,False
8,TRM-05,Terminal Surabaya,Surabaya,Jawa Timur,3000,2025-08-01,,True
9,TRM-06,Terminal Malang,Malang,Jawa Timur,1800,2024-01-01,,True
10,TRM-07,Terminal Solo,Solo,Jawa Tengah,2400,2024-01-01,,True
11,TRM-08,Terminal Cirebon,Cirebon,Jawa Barat,800,2024-01-01,,True
12,TRM-09,Terminal Tegal,Tegal,Jawa Tengah,2700,2024-01-01,,True
13,TRM-10,Terminal Purwokerto,Purwokerto,Jawa Tengah,600,2024-01-01,,True
14,TRM-11,Terminal Kediri,Kediri,Jawa Timur,2300,2024-01-01,,True
15,TRM-12,Terminal Madiun,Madiun,Jawa Timur,2700,2024-01-01,,True
16,TRM-13,Terminal Jember,Jember,Jawa Timur,2100,2024-01-01,,True
17,TRM-14,Terminal Probolinggo,Probolinggo,Jawa Timur,1300,2024-01-01,,True
18,TRM-15,Terminal Banyuwangi,Banyuwangi,Jawa Timur,1000,2024-01-01,,True
19,TRM-16,Terminal Bogor,Bogor,Jawa Barat,1200,2024-01-01,,True
20,TRM-17,Terminal Sukabumi,Sukabumi,Jawa Barat,1500,2024-01-01,,True
21,TRM-18,Terminal Tasikmalaya,Tasikmalaya,Jawa Barat,900,2024-01-01,2025-08-01,False
22,TRM-18,Terminal Tasikmalaya,Tasikmalaya,Jawa Barat,1200,2025-08-01,,True
23,TRM-19,Terminal Garut,Garut,Jawa Barat,1800,2024-01-01,2025-04-01,False
24,TRM-19,Terminal Garut,Garut,Jawa Barat,2000,2025-04-01,,True
25,TRM-20,Terminal Cilacap,Cilacap,Jawa Tengah,2900,2024-01-01,,True
26,TRM-21,Terminal Pekalongan,Pekalongan,Jawa Tengah,3000,2024-01-01,,True
27,TRM-22,Terminal Magelang,Magelang,Jawa Tengah,2100,2024-01-01,,True
28,TRM-23,Terminal Salatiga,Salatiga,Jawa Tengah,1400,2024-01-01,,True
29,TRM-24,Terminal Jepara,Jepara,Jawa Tengah,3000,2024-01-01,,True
30,TRM-25,Terminal Pati,Pati,Jawa Tengah,2900,2024-01-01,,True
